"Time","ph","Pi"
0,7.0953,1.20206185190703
0.01501502,7.09265973773327,1.37640768018783
0.03003003,7.09002665048714,1.54842978028984
0.04504505,7.08740071878107,1.7181604538385
0.06006006,7.08478192318736,1.88563155579828
0.07507508,7.08217024433098,2.05087450065799
0.09009009,7.07956566288948,2.21392026853143
0.10510511,7.07696815959282,2.37479941117426
0.12012012,7.07437771522322,2.53354205791828
0.13513514,7.07179431061503,2.69017792152439
0.15015015,7.06921792665457,2.84473630395519
0.16516517,7.06664854428003,2.99724610206849
0.18018018,7.06408614448129,3.14773581323272
0.1951952,7.06153070829979,3.29623354086528
0.21021021,7.05898221682842,3.44276699989513
0.22522523,7.05644065121131,3.58736352215037
0.24024024,7.05390599264378,3.730050061672
0.25525526,7.05137822237214,3.87085319995495
0.27027027,7.04885732169356,4.00979915111724
0.28528529,7.04634327195595,4.14691376699832
0.3003003,7.04383605455783,4.2822225421876
0.31531532,7.04133565094814,4.41575061898412
0.33033033,7.03884204262618,4.5475227922883
0.34534535,7.03635521114141,4.67756351442668
0.36036036,7.03387513809333,4.80589689991066
0.37537538,7.03140180513138,4.93254673013007
0.39039039,7.02893519395476,5.05753645798253
0.40540541,7.02647528631232,5.18088921243942
0.42042042,7.0240220640024,5.30262780304938
0.43543544,7.02157550887273,5.42277472438028
0.45045045,7.01913560282028,5.54135216040026
0.46546547,7.01670232779111,5.658381988799
0.48048048,7.01427566578028,5.77388578524985
0.4954955,7.01185559883167,5.88788482761356
0.51051051,7.00944210903787,6.00040010008473
0.52552553,7.00703517854004,6.11145229728139
0.54054054,7.00463478952782,6.22106182827877
0.55555556,7.00224092423911,6.32924882058786
0.57057057,6.99985356496003,6.43603312407967
0.58558559,6.99747269402475,6.54143431485578
0.6006006,6.99509829381534,6.64547169906599
0.61561562,6.99273034676167,6.74816431667385
0.63063063,6.9903688353413,6.84953094517068
0.64564565,6.98801374207927,6.94959010323888
0.66066066,6.98566504954807,7.04836005436511
0.67567568,6.98332274036746,7.14585881040419
0.69069069,6.98098679720431,7.24210413509419
0.70570571,6.97865720277255,7.33711354752365
0.72072072,6.976333939833,7.43090432555118
0.73573574,6.97401699119322,7.52349350917858
0.75075075,6.97170633970742,7.61489790387769
0.76576577,6.96940196827634,7.70513408387185
0.78078078,6.96710385984708,7.79421839537252
0.7957958,6.96481199741302,7.88216695977157
0.81081081,6.96252636401366,7.96899567679004
0.82582583,6.96024694273452,8.05472022758381
0.84084084,6.957973716707,8.13935607780673
0.85585586,6.95570666910828,8.22291848063202
0.87087087,6.95344578316114,8.30542247973217
0.88588589,6.9511910421339,8.38688291221817
0.9009009,6.94894242934027,8.46731441153855
0.91591592,6.94669992813921,8.54673141033861
0.93093093,6.94446352193485,8.62514814328065
0.94594595,6.94223319417632,8.70257864982546
0.96096096,6.94000892835766,8.77903677697583
0.97597598,6.93779070801769,8.85453618198235
0.99099099,6.93557851673987,8.92909033501213
1.00600601,6.93337233815221,9.00271252178107
1.02102102,6.93117215592715,9.07541584614979
1.03603604,6.9289779537814,9.14721323268408
1.05105105,6.92678971547586,9.21811742918021
1.06606607,6.92460742481546,9.2881410091554
1.08108108,6.92243106564911,9.3572963743042
1.0960961,6.92026062186949,9.42559575692103
1.11111111,6.91809607741302,9.49305122228937
1.12612613,6.91593741625966,9.55967467103805
1.14114114,6.91378462243286,9.62547784146506
1.15615616,6.9116376799994,9.69047231182941
1.17117117,6.90949657306929,9.75466950261118
1.18618619,6.90736128579566,9.8180806787405
1.2012012,6.9052318023746,9.88071695179571
1.21621622,6.90310810704512,9.942589282171
1.23123123,6.90099018408895,10.0037084812141
1.24624625,6.89887801783049,10.0640852133346
1.26126126,6.89677159263666,10.1237299980821
1.27627628,6.89467089291677,10.1826532121971
1.29129129,6.89257590312247,10.2408650916316
1.30630631,6.89048660774756,10.2983757335428
1.32132132,6.88840299132793,10.3551950982585
1.33633634,6.88632503844141,10.4113330112152
1.35135135,6.88425273370767,10.4667991648692
1.36636637,6.88218606178812,10.5216031205807
1.38138138,6.88012500738578,10.5757543104719
1.3963964,6.87806955524517,10.6292620392583
1.41141141,6.87601969015219,10.6821354860554
1.42642643,6.87397539693404,10.7343837061589
1.44144144,6.87193666045907,10.7860156328006
1.45645646,6.86990346563668,10.8370400788787
1.47147147,6.86787579741722,10.8874657386644
1.48648649,6.86585364079187,10.9373011894839
1.5015015,6.86383698079253,10.9865548933768
1.51651652,6.86182580249172,11.0352351987304
1.53153153,6.85982009100244,11.0833503418914
1.54654655,6.85781983147809,11.130908448754
1.56156156,6.85582500911236,11.1779175363259
1.57657658,6.85383560913911,11.2243855142709
1.59159159,6.85185161683225,11.2703201864307
1.60660661,6.84987301750565,11.3157292523234
1.62162162,6.84789979651304,11.3606203086212
1.63663664,6.84593193924786,11.4050008506066
1.65165165,6.84396943114322,11.4488782736075
1.66666667,6.84201225767171,11.4922598744111
1.68168168,6.84006040434537,11.535152852658
1.6966967,6.83811385671553,11.5775643122148
1.71171171,6.83617260037273,11.6195012625277
1.72672673,6.83423662094661,11.6609706199554
1.74174174,6.83230590410578,11.7019792090833
1.75675676,6.83038043555776,11.7425337640172
1.77177177,6.82846020104884,11.7826409296589
1.78678679,6.82654518636398,11.8223072629618
1.8018018,6.82463537732671,11.8615392341691
1.81681682,6.82273075979904,11.9003432280326
1.83183183,6.82083131968131,11.9387255450131
1.84684685,6.81893704291214,11.9766924024639
1.86186186,6.81704791546831,12.0142499357952
1.87687688,6.81516392336462,12.051404199622
1.89189189,6.81328505265384,12.0881611688934
1.90690691,6.81141128942658,12.1245267400065
1.92192192,6.80954261981118,12.1605067319013
1.93693694,6.80767902997363,12.1961068871405
1.95195195,6.80582050611745,12.2313328729718
1.96696697,6.8039670344836,12.2661902823744
1.98198198,6.80211860135037,12.3006846350891
1.996997,6.80027519303328,12.3348213786324
2.01201201,6.79843679588499,12.3686058892949
2.02702703,6.79660339629519,12.4020434731246
2.04204204,6.79477498069047,12.4351393668939
2.05705706,6.7929515355343,12.4678987390527
2.07207207,6.79113304732685,12.500326690665
2.08708709,6.78931950260492,12.5324282563326
2.1021021,6.78751088794185,12.564208405102
2.11711712,6.78570718994741,12.5956720413592
2.13213213,6.78390839526771,12.6268240057082
2.14714715,6.78211449058508,12.6576690758373
2.16216216,6.78032546261799,12.68821196737
2.17717718,6.77854129812097,12.718457334703
2.19219219,6.77676198388447,12.7484097718311
2.20720721,6.77498750673478,12.7780738131579
2.22222222,6.77321785353396,12.8074539342938
2.23723724,6.7714530111797,12.8365545528412
2.25225225,6.76969296660525,12.865380029167
2.26726727,6.76793770677932,12.8939346671615
2.28228228,6.76618721870597,12.9222227149867
2.2972973,6.76444148942454,12.9502483658106
2.31231231,6.76270050600952,12.9780157585305
2.32732733,6.76096425557049,13.0055289784837
2.34234234,6.75923272525201,13.0327920581474
2.35735736,6.75750590223351,13.0598089778261
2.37237237,6.75578377372921,13.086583666328
2.38738739,6.75406632698805,13.1131200016305
2.4024024,6.75235354929354,13.139421811534
2.41741742,6.75064542796372,13.1654928743055
2.43243243,6.74894195035103,13.1913369193111
2.44744745,6.74724310384223,13.2169576276379
2.46246246,6.74554887585831,13.2423586327058
2.47747748,6.74385925385441,13.2675435208693
2.49249249,6.74217422531969,13.2925158320083
2.50750751,6.74049377777727,13.3172790601104
2.52252252,6.73881789878412,13.3418366538422
2.53753754,6.737146575931,13.3661920171121
2.55255255,6.73547979684231,13.3903485096229
2.56756757,6.73381754917605,13.4143094474158
