"Force","Time","pH"
0.557978186030693,-3.67795399342763,7.5
0.560832240265802,-3.67595370767252,7.5
0.563669228438393,-3.67395342191742,7.5
0.566489159797491,-3.67195313616231,7.5
0.569292416650849,-3.6699528504072,7.5
0.572079019487334,-3.66795256465209,7.5
0.574848538878222,-3.66595227889699,7.5
0.577601223994523,-3.66395199314188,7.5
0.580337247758418,-3.66195170738677,7.5
0.583056774642599,-3.65995142163166,7.5
0.585759823119446,-3.65795113587655,7.5
0.588446490843467,-3.65595085012145,7.5
0.591116805195691,-3.65395056436634,7.5
0.593770803799111,-3.65195027861123,7.5
0.596408644490074,-3.64994999285612,7.5
0.599030318407613,-3.64794970710101,7.5
0.601635949894484,-3.64594942134591,7.5
0.604225614676551,-3.6439491355908,7.5
0.606799328639914,-3.64194884983569,7.5
0.609357251898617,-3.63994856408058,7.5
0.611899409413552,-3.63794827832548,7.5
0.614425865672723,-3.63594799257037,7.5
0.616936753558091,-3.63394770681526,7.5
0.619432075274258,-3.63194742106015,7.5
0.621911975847425,-3.62994713530504,7.5
0.624376508216101,-3.62794684954994,7.5
0.626825706173476,-3.62594656379483,7.5
0.629259729577318,-3.62394627803972,7.5
0.631678575033923,-3.62194599228461,7.5
0.634082381862268,-3.6199457065295,7.5
0.636471211383135,-3.6179454207744,7.5
0.638845093295583,-3.61594513501929,7.5
0.641204189463082,-3.61394484926418,7.5
0.643548497394864,-3.61194456350907,7.5
0.645878157746243,-3.60994427775396,7.5
0.648193225080743,-3.60794399199886,7.5
0.650493745583729,-3.60594370624375,7.5
0.652779863659679,-3.60394342048864,7.5
0.655051582890441,-3.60194313473353,7.5
0.657309050538861,-3.59994284897843,7.5
0.659552302779646,-3.59794256322332,7.5
0.661781418079523,-3.59594227746821,7.5
0.663996508341859,-3.5939419917131,7.5
0.666197587275561,-3.59194170595799,7.5
0.668384812660253,-3.58994142020289,7.5
0.670558193437056,-3.58794113444778,7.5
0.672717847822937,-3.58594084869267,7.5
0.674863854930436,-3.58394056293756,7.5
0.67699623515413,-3.58194027718245,7.5
0.679115149694989,-3.57993999142735,7.5
0.681220598513326,-3.57793970567224,7.5
0.683312720657738,-3.57593941991713,7.5
0.685391555015703,-3.57393913416202,7.5
0.68745718160705,-3.57193884840692,7.5
0.689509703050254,-3.56993856265181,7.5
0.691549136469479,-3.5679382768967,7.5
0.69357563563301,-3.56593799114159,7.5
0.695589204565109,-3.56393770538648,7.5
0.697589970640694,-3.56193741963138,7.5
0.699577987565987,-3.55993713387627,7.5
0.701553313613616,-3.55793684812116,7.5
0.703516066380126,-3.55593656236605,7.5
0.705466258381843,-3.55393627661094,7.5
0.707404036225279,-3.55193599085584,7.5
0.709329407094936,-3.54993570510073,7.5
0.711242491862216,-3.54793541934562,7.5
0.713143347851633,-3.54593513359051,7.5
0.715032027125221,-3.54393484783541,7.5
0.716908647613313,-3.5419345620803,7.5
0.718773221161355,-3.53993427632519,7.5
0.720625889160226,-3.53793399057008,7.5
0.722466659634681,-3.53593370481497,7.5
0.724295650722139,-3.53393341905987,7.5
0.726112915155921,-3.53193313330476,7.5
0.727918510182856,-3.52993284754965,7.5
